temp;Cyc1;Cyc2;Cyc3;Cyc4;Cyc5;Cyc6;Cyc7;Cyc8;Cyc9;Cyc10;Cyc14;Cyc15;Cyc16;Cyc17;Cyc18;Cyc21;Cyc22;Cyc23;Cyc24;Cyc25;Cyc26;Cyc28;Cyc29;Cyc30;Cyc31;Cyc32;Cyc34;Cyc35;Cyc36;Cyc39;Cyc40;Cyc41
91,7;1,760346162;1,750209812;1,727423006;1,589118138;1,742376847;1,635331175;1,611352712;1,675549597;2,025279113;1,95045513;1,964344752;1,619490857;2,390198622;2,107706896;2,106943945;2,02214738;1,748247937;1,722641845;1,663843748;1,628255013;1,597897029;1,484448514;1,414206149;1,327636632;1,70548914;1,444593402;1,517153684;1,356527047;1,583192881;1,550926986;1,369141171;1,248855573
91,8;1,813585616;1,828265577;1,694296396;1,648832685;1,750972763;1,60280766;1,541052219;1,678375032;1,987546291;1,89953024;1,931486992;1,676731752;2,365500525;2,16230513;2,099641413;2,072378627;1,751354238;1,707836682;1,64374879;1,703024221;1,532005798;1,457890549;1,430991073;1,337198952;1,609592056;1,466137687;1,523867653;1,371241103;1,591821164;1,498149844;1,367644334;1,187621412
91,9;1,846138196;1,784483922;1,772793164;1,641203174;1,708883294;1,669010016;1,611570698;1,612333649;2,040226596;1,95325653;1,902095768;1,619200209;2,289674924;2,130746342;2,134043571;2,102693217;1,729434066;1,742682027;1,696517128;1,595741559;1,570916304;1,416146225;1,401055647;1,325422117;1,644570429;1,481142392;1,447259538;1,326226989;1,597946572;1,560763186;1,364156558;1,177174851
92;1,818163322;1,741359579;1,704305587;1,635563694;1,711585412;1,620380967;1,562428473;1,65947732;2,009026298;1,958851504;1,905851835;1,588871087;2,34238702;2,115917703;2,126051259;2,064310908;1,718345383;1,738237348;1,589403196;1,657716663;1,561651898;1,401365096;1,455812416;1,352076499;1,643142341;1,508201724;1,420901045;1,368352789;1,654484881;1,508227156;1,390859846;1,170748455
92,1;1,844488768;1,783983113;1,692327255;1,664289781;1,708465487;1,666050437;1,556202247;1,687756815;2,010485128;1,903753719;1,922064546;1,684723176;2,295854483;2,128430101;2,065954188;1,996833753;1,733628341;1,723506523;1,58595734;1,622796979;1,532710061;1,470766257;1,449841834;1,302793491;1,667429618;1,473258564;1,485008011;1,335927367;1,627081243;1,509234643;1,367615269;1,213528213
92,2;1,817349508;1,758810351;1,722362097;1,629445553;1,73026409;1,659091652;1,562641219;1,665776557;2,032120241;1,906614786;1,878589049;1,646066987;2,30880739;2,208307447;2,048778007;2,072582081;1,723942495;1,717226849;1,648443873;1,615494447;1,563110728;1,436636912;1,432059205;1,339272614;1,625175591;1,469661795;1,46533561;1,363066627;1,557007119;1,522596068;1,365330328;1,221535566
92,3;1,835456881;1,699219247;1,68522433;1,599145495;1,717888429;1,65429596;1,503885601;1,675745785;1,983774573;1,982909895;1,926909285;1,620508125;2,41092546;2,144714216;2,173596806;2,079804685;1,731245027;1,663143628;1,616235599;1,613768724;1,541982851;1,406336854;1,429443373;1,28938735;1,643701839;1,481869012;1,469952443;1,305585389;1,541466392;1,4577061;1,370895959;1,177342532
92,4;1,836770081;1,715921892;1,636530098;1,613205594;1,723447835;1,614595254;1,548383815;1,675620122;1,96192874;1,879148547;1,867595287;1,615930419;2,331273365;2,096807595;2,103941683;1,997296973;1,718064139;1,67836525;1,547519137;1,600889383;1,574496306;1,428009695;1,384756237;1,320844411;1,61200667;1,437094682;1,430005106;1,320668345;1,542251142;1,53881367;1,342207041;1,221230386
92,5;1,813534752;1,795891508;1,708533608;1,595712215;1,647756379;1,643205921;1,523899443;1,629772532;2,017751329;1,8491587;1,885117517;1,575544874;2,304699192;2,125472757;2,021585647;2,006145224;1,749975057;1,698094383;1,582712702;1,618677043;1,521559237;1,469825284;1,394420284;1,28684418;1,592496921;1,436963891;1,432931149;1,403067063;1,590971019;1,52173139;1,398548045;1,218105919
92,6;1,804430203;1,704331019;1,691521266;1,624029438;1,740138857;1,65178912;1,604075333;1,619216977;2,005340658;1,868358238;1,890265834;1,616165173;2,339818418;2,148331565;2,105091064;2,056589173;1,707249796;1,738329573;1,557711381;1,551537346;1,488708324;1,396309497;1,436280868;1,299661758;1,593159263;1,459678035;1,41087264;1,338025483;1,548673345;1,529825938;1,334452328;1,150647628
92,7;1,772771365;1,73924239;1,702194756;1,588362453;1,69539471;1,699142952;1,514203606;1,613113369;1,967944316;1,853426195;1,865974924;1,644218298;2,304779889;2,119935912;2,048472826;2,009730561;1,680272628;1,706670736;1,623458203;1,579744738;1,57390942;1,440833143;1,379960545;1,262902048;1,634546426;1,527310715;1,424429694;1,324365724;1,571788248;1,530378169;1,378870614;1,219704484
92,8;1,741868213;1,777803209;1,669554982;1,595858936;1,686448899;1,669336995;1,504187428;1,579895652;1,968413825;1,904652912;1,872608966;1,625412811;2,288417312;2,126293838;2,079586698;2,04389512;1,691898549;1,732453859;1,57113429;1,577375957;1,54816241;1,442195555;1,422140841;1,269134467;1,575269613;1,403702856;1,448386358;1,361409934;1,575904831;1,501284301;1,34679942;1,155006231
92,9;1,827337231;1,699746046;1,63729305;1,637570486;1,719255796;1,648864474;1,498944584;1,612115663;1,936487256;1,905960828;1,877446579;1,606571552;2,334512973;2,062256809;2,0857993;1,979476616;1,693954884;1,748097024;1,593143613;1,603926655;1,5464065;1,454184787;1,419699397;1,314911532;1,634132252;1,459779761;1,428680422;1,301711945;1,559166857;1,528518022;1,317289562;1,158159762
93;1,834643066;1,74181735;1,758308831;1,609233404;1,659418631;1,582233412;1,543450065;1,607244514;1,956918695;1,89998298;1,808303088;1,578134995;2,368200198;2,112230106;2,048230247;2,033373661;1,759717356;1,696599781;1,5868209;1,587955545;1,526474403;1,429354197;1,394674601;1,270137507;1,595890237;1,440887639;1,444593402;1,361104753;1,525432681;1,490219554;1,357834963;1,230531123
93,1;1,78154167;1,74092724;1,654840925;1,563668269;1,648091742;1,613736934;1,551733534;1,655699245;1,989667462;1,991200631;1,876045879;1,629772532;2,295309025;2,123292897;2,070649271;2,025693845;1,708247501;1,693115638;1,538226784;1,626502741;1,516964763;1,446824553;1,364258284;1,322448564;1,643941623;1,446446283;1,466065025;1,313038834;1,569263244;1,503911246;1,320922662;1,171485974
93,2;1,746923253;1,678492409;1,681442486;1,550062308;1,681747667;1,60618812;1,509212634;1,63810088;1,896478436;1,887541009;1,820074333;1,592634979;2,253992288;2,033264668;2,045689871;2,03370064;1,639799889;1,701380941;1,567973493;1,576002645;1,510316189;1,437634617;1,419394217;1,307698177;1,642809773;1,414041821;1,440124688;1,341737533;1,577673871;1,478599222;1,324248346;1,163042649
93,3;1,782362751;1,731644668;1,752716651;1,60952163;1,677983775;1,639963378;1,51664505;1,604310087;2,021820401;1,862935836;1,918880692;1,563134203;2,325570306;2,096237477;2,067800921;2,044327459;1,669235269;1,666176198;1,619109382;1,51814552;1,505048193;1,423884729;1,43387855;1,266117342;1,579895652;1,48034311;1,378601765;1,321024389;1,55536384;1,477276773;1,327887036;1,171305996
93,4;1,836550444;1,701787849;1,69208681;1,597074628;1,69407841;1,651462141;1,584942867;1,650720989;1,978768161;1,881723507;1,875216414;1,630208504;2,310685424;2,048428321;2,124994865;1,953699768;1,724269474;1,753378993;1,60337107;1,590708153;1,592169942;1,386231276;1,391114163;1,293420092;1,607596645;1,424756673;1,40853488;1,338077502;1,565139675;1,423079858;1,357818195;1,173825691
93,5;1,786933191;1,718572773;1,639963378;1,534167493;1,701733073;1,597704365;1,532412706;1,611250985;1,917772946;1,925571186;1,799038682;1,634828131;2,325801916;2,085075983;2,015716793;2,009486025;1,701925907;1,686249078;1,560489306;1,564558378;1,447222858;1,433803093;1,393266076;1,257016425;1,575929983;1,400342238;1,395730995;1,314819053;1,521019303;1,472368455;1,361308207;1,161320559
93,6;1,732814527;1,728964558;1,669235269;1,550621805;1,65974561;1,64165277;1,50289628;1,588260726;1,899278718;1,895279513;1,856042028;1,604595145;2,282867053;2,082653035;2,056814425;1,98580911;1,677293485;1,706285627;1,584355981;1,545738918;1,538719768;1,416800183;1,368734264;1,300248184;1,624373744;1,41018794;1,442849513;1,281757839;1,528601863;1,433737697;1,354873986;1,188241834
93,7;1,775743242;1,656315963;1,629940975;1,555784441;1,629898293;1,62864627;1,474715107;1,634877038;1,956206607;1,921778439;1,85865786;1,548673345;2,298104067;2,074992224;2,014660399;1,974008799;1,681671372;1,680018311;1,623051296;1,492919227;1,509015539;1,440015695;1,363569672;1,275450777;1,592329798;1,480594632;1,428346176;1,329496779;1,476838565;1,498217964;1,318240773;1,154286318
